Date,^IPC Open,^IPC High,^IPC Low,^IPC Close,^IPC Volume
2024-03-14,55838.32,56427.43,55838.32,56059.26,226717787
2024-03-15,56163.26,56575.51,55855.16,56228.4,935202237
2024-03-19,56137.15,56137.15,55494.1,55548.07,194973934
2024-03-20,55543.7,56921.96,55416.19,56618.01,172304657
2024-03-21,56715.25,57015.82,56544.05,56657.44,197838290
2024-03-22,56676.82,56805.66,56517.4,56610.54,170059476
2024-03-25,56565.11,56820.3,56311.99,56552.54,89283043
2024-03-26,56634.85,57422.25,56435.27,57209.7,125010858
2024-03-27,57182.86,57599.08,57007.55,57369.01,114250837
2024-04-01,57423.51,57726.82,57291.95,57653.23,165028829
2024-04-02,57593.62,57830.88,57235.59,57581.81,180753461
2024-04-03,57547.19,58086.42,57300.11,57503.39,189285284
2024-04-04,57539.47,58219.5,57514.18,57882.76,184739736
2024-04-05,57805.19,58227.84,57678.61,58092.44,212252349
2024-04-08,58021.66,58192.32,57749.44,57989.94,154641819
2024-04-09,58010.37,58298.77,57492.06,57571.16,202213349
2024-04-10,57541.86,57541.86,56374.63,56636.54,210376156
2024-04-11,56696.32,56876.65,56485.96,56830.32,200968547
2024-04-12,56918.48,57272.7,56497.88,56565.92,147838802
2024-04-15,56536.47,56709.12,55924.1,55984.0,170645737
2024-04-16,56009.73,56148.0,55626.75,55797.25,225862911
2024-04-17,55788.74,56090.32,55383.25,55415.69,244258908
2024-04-18,55597.79,55941.62,55585.82,55739.43,208671898
2024-04-19,55811.19,56036.72,55579.69,55862.85,138617598
2024-04-22,55852.28,56615.88,55771.55,56551.9,183161678
2024-04-23,56564.58,56906.8,56300.36,56633.75,204291953
2024-04-24,56622.16,56827.02,56188.89,56463.99,254687438
2024-04-25,56619.09,57282.33,56207.45,57085.84,264893673
2024-04-26,57072.96,58002.17,56870.17,57833.85,156980893
2024-04-29,57890.49,58110.37,57512.6,57827.86,222976766
2024-04-30,57835.5,57835.5,56670.53,56727.98,307132532
2024-05-02,56766.4,57021.78,56607.3,56677.05,249952217
