Date,AAPL.US Close,MSFT.US Close,ADBE.US Close,AMZN.US Close,PEP.US Close,AAPL.US High,MSFT.US High,ADBE.US High,AMZN.US High,PEP.US High,AAPL.US Low,MSFT.US Low,ADBE.US Low,AMZN.US Low,PEP.US Low,AAPL.US Open,MSFT.US Open,ADBE.US Open,AMZN.US Open,PEP.US Open,AAPL.US Volume,MSFT.US Volume,ADBE.US Volume,AMZN.US Volume,PEP.US Volume
2024-03-18,172.315,414.989,513.86,174.48,171.26,176.272,418.379,515.7299,176.69,172.18,172.116,411.468,495.55,174.28,166.95,174.149,411.935,495.55,175.8,167.05,76220921.0,20218937.042815,7052677.0,31250688.0,10478533.0
2024-03-19,174.655,419.055,521.19,175.9,171.8,175.176,419.31,522.68,176.09,172.65,171.63,413.229,508.99,173.52,171.0,172.93,415.496,509.89,174.215,171.1,55665660.0,19949369.008317,7081796.0,26880893.0,7653926.0
2024-03-20,177.224,422.854,519.14,178.15,171.86,177.224,423.58,523.87,178.53,173.1,173.674,418.311,512.5,174.64,171.12,174.298,419.642,523.29,176.14,172.3,53858898.0,17960427.100575,4239557.0,29947150.0,5046920.0
2024-03-21,169.983,426.971,511.25,178.15,172.45,176.054,428.412,519.725,181.415,173.42,169.458,424.774,506.2,178.15,171.05,175.617,427.428,517.6,179.988,171.92,107047439.0,21415869.115329,5206580.0,32824320.0,4343007.0
2024-03-22,170.885,426.345,499.52,178.87,172.02,171.65,427.458,511.59,179.255,173.1,168.684,423.69,496.67,176.75,171.76,170.37,427.299,509.07,177.752,173.02,71740624.0,17747626.215271,5413647.0,27995378.0,4106531.0
2024-03-25,169.468,420.498,507.23,179.71,172.6,170.549,425.021,510.63,180.99,173.09,168.078,419.255,496.69,177.24,172.108,169.185,422.864,496.79,178.01,172.2,54731182.0,18161917.797624,4277036.0,29815464.0,3941985.0
2024-03-26,168.337,419.295,507.6,178.3,172.73,170.033,423.61,512.79,180.45,172.97,168.207,418.995,503.59,177.95,171.815,168.625,423.233,508.06,180.15,172.17,57856592.0,16819615.564733,2813329.0,29658982.0,4593166.0
2024-03-27,171.907,419.075,504.4,179.83,173.57,172.196,422.079,516.86,180.0,174.69,168.734,416.669,499.7,177.3099,173.05,169.031,422.069,515.47,179.88,173.998,60764941.0,16798830.441496,4228415.0,33272551.0,4911274.0
2024-03-28,170.092,418.37,504.6,180.38,175.01,170.837,419.512,509.0,181.7,175.81,169.13,416.778,500.26,179.26,174.37,170.36,418.608,508.12,180.17,174.76,66208412.0,21994038.256001,3897003.0,38051588.0,5710539.0
2024-04-01,168.655,422.199,502.09,180.97,172.98,169.864,425.5,506.92,183.0,176.23,168.103,419.862,499.31,179.95,172.65,169.804,421.582,504.99,180.79,175.57,46617704.0,16407627.853749,2056030.0,29174521.0,4815366.0
2024-04-02,167.474,419.085,499.21,180.69,171.44,167.969,420.02,500.75,180.79,173.87,166.869,415.506,491.34,178.3762,171.36,167.712,417.764,494.403,179.07,172.94,49731884.0,18012625.726142,3083273.0,32611546.0,5158492.0
2024-04-03,168.277,418.101,497.01,182.41,169.68,169.3,420.896,498.86,182.87,170.92,167.216,416.743,494.71,179.8,168.7,167.424,417.385,497.36,179.9,170.0,48080757.0,16594977.54722,2604428.0,31046638.0,5828024.0
